"Pitcher","MLBAM_ID","Year","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"J.J. Hoover",9037,"2015",183,0.1749,0.0328,0.0273,0.1148,0.1803,0.5847
"Tony Sipp",8280,"2015",182,0.1319,0.0275,0.0879,0.0165,0.2308,0.522
"Sean O'Sullivan",9137,"2015",181,0.1492,0.011,0.0552,0.0829,0.2376,0.547
"Yimi Garcia",12095,"2015",180,0.1778,0.05,0.0444,0.0833,0.25,0.4778
"Juan Nicasio",7731,"2015",180,0.2167,0.0556,0.0389,0.1222,0.2333,0.4556
"Trevor Rosenthal",10745,"2015",179,0.1397,0.0447,0.0615,0.0335,0.2626,0.4916
"Junichi Tazawa",4079,"2015",176,0.1307,0.017,0.0568,0.0568,0.2955,0.5
"Jeremy Jeffress",9490,"2015",175,0.1771,0.0286,0.0686,0.08,0.1829,0.5429
"Edward Mujica",3970,"2015",174,0.1379,0.0287,0.0632,0.046,0.2356,0.5345
"Hector Rondon",2391,"2015",174,0.1782,0.0402,0.046,0.092,0.2241,0.5115
"Jeff Francis",4684,"2015",173,0.1792,0.0173,0.0694,0.0925,0.2081,0.526
"Tyler Olson",14741,"2015",173,0.1272,0.0116,0.0347,0.0809,0.2428,0.5838
"Bryan Morris",10234,"2015",173,0.1445,0.0289,0.0751,0.0405,0.2139,0.5376
"Yusmeiro Petit",4020,"2015",172,0.1337,0.0349,0.0465,0.0523,0.2791,0.5058
"Jeanmar Gomez",9033,"2015",171,0.1754,0.0175,0.0643,0.0936,0.2398,0.5029
"Mike Dunn",9948,"2015",170,0.1882,0.0294,0.0529,0.1059,0.2412,0.4882
"Arquimedes Caminero",8992,"2015",170,0.1647,0.0235,0.0647,0.0765,0.2706,0.4765
"Fernando Rodney",494,"2015",170,0.1882,0.0235,0.0412,0.1235,0.2353,0.5118
"Brooks Brown",5679,"2015",169,0.1006,0.0414,0.0947,-0.0355,0.2249,0.5385
"Joe Smith",3281,"2015",169,0.1479,0.0059,0.0592,0.0828,0.1893,0.5976
"Homer Bailey",8362,"2015",168,0.1071,0.0417,0.0476,0.0179,0.1786,0.625
"Miguel Castro",15684,"2015",168,0.1667,0.0298,0.0833,0.0536,0.1607,0.5595
"Chasen Shreve",10855,"2015",168,0.1488,0.0238,0.0357,0.0893,0.2024,0.5893
"Al Alburquerque",6324,"2015",167,0.1856,0.0719,0.0479,0.0659,0.1856,0.509
"Drew Smyly",11760,"2015",166,0.1988,0.0602,0.0482,0.0904,0.1928,0.5
"Anthony Swarzak",7466,"2015",165,0.2303,0.0485,0.0121,0.1697,0.1939,0.5152
"Blaine Boyer",2237,"2015",165,0.1879,0.0667,0.0545,0.0667,0.2545,0.4364
"Santiago Casilla",2873,"2015",165,0.2485,0.0061,0.0424,0.2,0.1515,0.5515
"Jared Hughes",9325,"2015",165,0.1515,0.0182,0.0485,0.0848,0.1515,0.6303
"Robbie Ross",6819,"2015",165,0.1939,0.0242,0.0667,0.103,0.2303,0.4848
"Tyler Clippard",5640,"2015",165,0.1879,0.0121,0.0545,0.1212,0.1939,0.5515
"Roman Mendez",10307,"2015",164,0.1098,0.0427,0.061,0.0061,0.2866,0.5
"Will Harris",3192,"2015",164,0.1341,0.0549,0.0366,0.0427,0.2866,0.4878
"Chris Hatcher",3299,"2015",164,0.1159,0.0366,0.0854,-0.0061,0.2134,0.5488
"Jean Machi",3220,"2015",164,0.1402,0.0183,0.061,0.061,0.2073,0.5732
"Zach Duke",3840,"2015",163,0.1411,0.0123,0.0982,0.0307,0.1718,0.5767
"Dan Otero",7385,"2015",163,0.1963,0.0245,0.0798,0.092,0.1779,0.5215
"Jeurys Familia",5114,"2015",163,0.184,0.0368,0.0429,0.1043,0.1779,0.5583
"Jonathan Broxton",4759,"2015",163,0.1411,0.0368,0.0245,0.0798,0.2331,0.5644
"Jose Alvarez",5358,"2015",163,0.1963,0.0307,0.0429,0.1227,0.2699,0.4601
"Marco Estrada",1118,"2015",163,0.1472,0.0552,0.0491,0.0429,0.2086,0.5399
"Jumbo Diaz",3397,"2015",162,0.1543,0.0247,0.0494,0.0802,0.2222,0.5494
"Logan Verrett",12905,"2015",162,0.1481,0.0247,0.0494,0.0741,0.2099,0.5679
"Aroldis Chapman",10233,"2015",162,0.1975,0.037,0.0494,0.1111,0.2346,0.4815
"Shawn Tolleson",10481,"2015",161,0.1863,0.0373,0.0621,0.087,0.2547,0.4596
"Steve Cishek",6483,"2015",161,0.1677,0.0186,0.087,0.0621,0.1677,0.559
"Joakim Soria",6941,"2015",161,0.118,0.0373,0.0683,0.0124,0.3106,0.4658
"Casey Fien",3926,"2015",160,0.1375,0.0125,0.0875,0.0375,0.275,0.4875
"Angel Nesbitt",13415,"2015",160,0.1313,0.0375,0.0438,0.05,0.225,0.5625
"Kelvin Herrera",6033,"2015",160,0.1563,0.0438,0.0313,0.0813,0.1813,0.5875
"Aaron Loup",10343,"2015",159,0.2264,0.0189,0.0314,0.1761,0.2138,0.5094
"Brandon Maurer",4878,"2015",159,0.1069,0.0189,0.1006,-0.0126,0.2516,0.522
"Randall Delgado",5985,"2015",158,0.1266,0.038,0.0759,0.0127,0.2532,0.5063
"Jason Grilli",521,"2015",158,0.1203,0.0696,0.0506,0,0.2532,0.5063
"Jake Peavy",1051,"2015",158,0.1519,0.0316,0.057,0.0633,0.2658,0.4937
"Huston Street",8258,"2015",157,0.1083,0.051,0.0764,-0.0191,0.2293,0.535
"Aaron Barrett",11243,"2015",157,0.172,0.0255,0.0892,0.0573,0.2038,0.5096
